渨ie縠1渨ie縠1渨ie縠: 1
渨ie縠: 1/n渨ie縠: 1
 渨ie縠: 1
 渨ie縠: 1 G贸rowo I艂aweckie
date(h:i:s)	Nowa karta: 1 G贸rowo I艂aweckie11:30:42
01:07:34	Zczytane z bazy: 4 - Górowo Iławeckie
01:07:34	Wyliczone: 5 - Górowo Iławeckie
01:09:05	Zczytane z bazy: 5 - Górowo Iławeckie
01:09:05	Wyliczone: 6 - Górowo Iławeckie
02:00:07	Zczytane z bazy: 6 - Górowo Iławeckie
02:00:07	Wyliczone: 7 - Górowo Iławeckie
02:00:38	Zczytane z bazy: 7 - Górowo Iławeckie
02:00:38	Wyliczone: 8 - Górowo Iławeckie
02:00:52	Zczytane z bazy: 8 - Górowo Iławeckie
02:00:52	Wyliczone: 9 - Górowo Iławeckie
02:02:36	Zczytane z bazy: 9 - Górowo Iławeckie
02:02:36	Wyliczone: 10 - Górowo Iławeckie
02:04:54	Zczytane z bazy: 10 - Górowo Iławeckie
02:04:54	Wyliczone: 11 - Górowo Iławeckie
02:06:08	Zczytane z bazy: 11 - Górowo Iławeckie
02:06:08	Wyliczone: 12 - Górowo Iławeckie
02:13:03	Zczytane z bazy: 12 - Górowo Iławeckie
02:13:03	Wyliczone: 13 - Górowo Iławeckie
02:17:08	Zczytane z bazy: 13 - Górowo Iławeckie
02:17:08	Wyliczone: 14 - Górowo Iławeckie
02:19:47	Zczytane z bazy: 14 - Górowo Iławeckie
02:19:47	Wyliczone: 15 - Górowo Iławeckie
02:19:50	Zczytane z bazy: 15 - Górowo Iławeckie
02:19:50	Wyliczone: 16 - Górowo Iławeckie
02:19:51	Zczytane z bazy: 16 - Górowo Iławeckie
02:19:51	Wyliczone: 17 - Górowo Iławeckie
02:20:04	Zczytane z bazy: 17 - Górowo Iławeckie
02:20:04	Wyliczone: 18 - Górowo Iławeckie
02:20:39	Zczytane z bazy: 18 - Górowo Iławeckie
02:20:39	Wyliczone: 19 - Górowo Iławeckie
02:20:40	Zczytane z bazy: 19 - Górowo Iławeckie
02:20:40	Wyliczone: 20 - Górowo Iławeckie
02:21:49	Zczytane z bazy: 0 - Barciany
02:21:49	Wyliczone: 1 - Barciany
02:21:51	Zczytane z bazy: 1 - Barciany
02:21:51	Wyliczone: 2 - Barciany
02:25:35	Zczytane z bazy: 0 - Barcianinyy
02:25:35	Wyliczone: 1 - Barcianinyy
02:28:10	Nowa karta: 1 - Barcianinyniy
02:28:32	Zczytane z bazy: 1 - Barcianinyniy
02:28:32	Wyliczone: 2 - Barcianinyniy
02:28:33	Zczytane z bazy: 2 - Barcianinyniy
02:28:33	Wyliczone: 3 - Barcianinyniy
02:28:45	Zczytane z bazy: 3 - Barcia
02:28:45	Wyliczone: 4 - Barcia
02:29:39	Zczytane z bazy: 4 - Barcia
02:29:39	Wyliczone: 5 - Barcia
02:29:46	Zczytane z bazy: 5 - Barcia
02:29:46	Wyliczone: 6 - Barcia
02:30:18	Nowa karta: 1 - Barcia
02:30:23	Nowa karta: 1 - Barcia
02:30:27	Nowa karta: 1 - Barcia
02:30:28	Nowa karta: 1 - Barcia
02:30:47	Nowa karta: 1 - Barcia
02:31:20	Zczytane z bazy: 1 - Barcia
02:31:20	Wyliczone: 2 - Barcia
02:31:21	Zczytane z bazy: 2 - Barcia
02:31:21	Wyliczone: 3 - Barcia
02:31:37	Zczytane z bazy: 20 - Górowo Iławeckie
02:31:37	Wyliczone: 21 - Górowo Iławeckie
02:31:48	Nowa karta: 1 - Olsztyn
02:42:22	Zczytane z bazy: 21 - Górowo Iławeckie
02:42:22	Wyliczone: 22 - Górowo Iławeckie
02:43:05	Zczytane z bazy: 22 - Górowo Iławeckie
02:43:05	Wyliczone: 23 - Górowo Iławeckie
02:45:04	Zczytane z bazy: 23 - Górowo Iławeckie
02:45:04	Wyliczone: 24 - Górowo Iławeckie
02:46:57	Zczytane z bazy: 24 - Górowo Iławeckie
02:46:57	Wyliczone: 25 - Górowo Iławeckie
02:47:58	Zczytane z bazy: 25 - Górowo Iławeckie
02:47:58	Wyliczone: 26 - Górowo Iławeckie
02:49:48	Zczytane z bazy: 26 - Górowo Iławeckie
02:49:48	Wyliczone: 27 - Górowo Iławeckie
02:57:19	Zczytane z bazy: 27 - Górowo Iławeckie
02:57:19	Wyliczone: 28 - Górowo Iławeckie
02:58:55	Zczytane z bazy: 28 - Górowo Iławeckie
02:58:55	Wyliczone: 29 - Górowo Iławeckie
02:59:41	Zczytane z bazy: 29 - Górowo Iławeckie
02:59:41	Wyliczone: 30 - Górowo Iławeckie
03:02:51	Zczytane z bazy: 30 - Górowo Iławeckie
03:02:51	Wyliczone: 31 - Górowo Iławeckie
03:04:04	Zczytane z bazy: 31 - Górowo Iławeckie
03:04:04	Wyliczone: 32 - Górowo Iławeckie
03:09:05	Zczytane z bazy: 32 - Górowo Iławeckie
03:09:05	Wyliczone: 33 - Górowo Iławeckie
03:09:29	Zczytane z bazy: 33 - Górowo Iławeckie
03:09:29	Wyliczone: 34 - Górowo Iławeckie
03:10:40	Zczytane z bazy: 34 - Górowo Iławeckie
03:10:40	Wyliczone: 35 - Górowo Iławeckie
03:15:02	Zczytane z bazy: 35 - Górowo Iławeckie
03:15:02	Wyliczone: 36 - Górowo Iławeckie
03:19:48	Zczytane z bazy: 36 - Górowo Iławeckie
03:19:48	Wyliczone: 37 - Górowo Iławeckie
03:27:45	Zczytane z bazy: 37 - Górowo Iławeckie
03:27:45	Wyliczone: 38 - Górowo Iławeckie
03:31:35	Zczytane z bazy: 38 - Górowo Iławeckie
03:31:35	Wyliczone: 39 - Górowo Iławeckie
03:34:52	Zczytane z bazy: 39 - Górowo Iławeckie
03:34:52	Wyliczone: 40 - Górowo Iławeckie
03:40:40	Zczytane z bazy: 40 - Górowo Iławeckie
03:40:40	Wyliczone: 41 - Górowo Iławeckie
03:45:25	Zczytane z bazy: 41 - Górowo Iławeckie
03:45:25	Wyliczone: 42 - Górowo Iławeckie
03:49:25	Zczytane z bazy: 42 - Górowo Iławeckie
03:49:25	Wyliczone: 43 - Górowo Iławeckie
03:55:18	Zczytane z bazy: 43 - Górowo Iławeckie
03:55:18	Wyliczone: 44 - Górowo Iławeckie
04:19:58	Zczytane z bazy: 44 - Górowo Iławeckie
04:19:58	Wyliczone: 45 - Górowo Iławeckie
04:20:01	Zczytane z bazy: 45 - Górowo Iławeckie
04:20:01	Wyliczone: 46 - Górowo Iławeckie
04:24:44	Zczytane z bazy: 46 - Górowo Iławeckie
04:24:44	Wyliczone: 47 - Górowo Iławeckie
04:31:29	Zczytane z bazy: 47 - Górowo Iławeckie
04:31:29	Wyliczone: 48 - Górowo Iławeckie
07:56:44	Zczytane z bazy: 48 - Górowo Iławeckie
07:56:44	Wyliczone: 49 - Górowo Iławeckie
07:57:48	Zczytane z bazy: 49 - Górowo Iławeckie
07:57:48	Wyliczone: 50 - Górowo Iławeckie
08:53:14	Zczytane z bazy: 50 - Górowo Iławeckie
08:53:14	Wyliczone: 51 - Górowo Iławeckie
09:47:26	Zczytane z bazy: 1 - Olsztyn
09:47:26	Wyliczone: 2 - Olsztyn
09:47:26	Zczytane z bazy: 2 - Olsztyn
09:47:26	Wyliczone: 3 - Olsztyn
12:04:58	Zczytane z bazy: 51 - Górowo Iławeckie
12:04:58	Wyliczone: 52 - Górowo Iławeckie
